,0
primary_package_id,10
statecode,53
drivercategory,3
countallvehiclesaddedpast1mth,24
countallvehiclesaddedpast2mths,34
countallvehiclesaddedpast3mths,40
countallvehiclesaddedpast6mths,53
countallvehiclespurchasednew,48
countallvehiclespurchasednewaddedpast1mth,9
countallvehiclespurchasednewaddedpast2mths,12
countallvehiclespurchasednewaddedpast3mths,15
countallvehiclespurchasednewaddedpast6mths,22
countallvehiclespurchasednewaddedpast12mths,32
countallvehiclespurchasednewaddedpast24mths,41
countallvehiclespurchasednewaddedpast36mths,44
countallvehiclespurchasednewaddedpast48mths,46
countallvehiclespurchasednewaddedpast60mths,46
countallvehiclespurchasedusedaddedpast1mth,17
countallvehiclespurchasedusedaddedpast2mths,23
countallvehiclespurchasedusedaddedpast3mths,28
countallvehiclespurchasedusedaddedpast6mths,35
countallvehiclespurchasedusedaddedpast12mths,44
countallvehiclespurchasedusedaddedpast24mths,52
countactivevehicles,51
countactivevehiclesaddedpast1mth,7
countactivevehiclesaddedpast2mths,8
countactivevehiclesaddedpast3mths,10
countactivevehiclesaddedpast6mths,14
countactivevehiclesaddedpast12mths,20
countactivevehiclesaddedpast24mths,29
countactivevehiclesaddedpast36mths,31
countactivevehiclesaddedpast48mths,36
countactivevehiclesaddedpast60mths,38
countactivevehiclespurchasednew,26
countactivevehiclespurchasednewaddedpast1mth,5
countactivevehiclespurchasednewaddedpast2mths,6
countactivevehiclespurchasednewaddedpast3mths,7
countactivevehiclespurchasednewaddedpast6mths,9
countactivevehiclespurchasednewaddedpast12mths,13
countactivevehiclespurchasednewaddedpast24mths,16
countactivevehiclespurchasednewaddedpast36mths,19
countactivevehiclespurchasednewaddedpast48mths,21
countactivevehiclespurchasednewaddedpast60mths,21
countactivevehiclespurchasedused,35
countactivevehiclespurchasedusedaddedpast1mth,7
countactivevehiclespurchasedusedaddedpast2mths,8
countactivevehiclespurchasedusedaddedpast3mths,9
countactivevehiclespurchasedusedaddedpast6mths,14
countactivevehiclespurchasedusedaddedpast12mths,17
countactivevehiclespurchasedusedaddedpast24mths,24
countactivevehiclespurchasedusedaddedpast36mths,27
countactivevehiclespurchasedusedaddedpast48mths,31
countactivevehiclespurchasedusedaddedpast60mths,33
countdisposedvehiclesremovedpast1mth,9
countdisposedvehiclesremovedpast2mth,12
countdisposedvehiclesremovedpast3mth,14
